id,date,gender,age,steps,calories,distance
621e2efa67b776a2409dd1c3,2021-07-23,FEMALE,<30,4717.0,1382.4,3711.0
621e2efa67b776a2409dd1c3,2021-07-24,FEMALE,<30,4717.0,1382.4,3711.0
621e2efa67b776a2409dd1c3,2021-07-25,FEMALE,<30,4717.0,1382.4,3711.0
621e2efa67b776a2409dd1c3,2021-07-26,FEMALE,<30,4717.0,1382.4,3711.0
621e2f3967b776a240c654db,2021-05-24,MALE,>=30,1447.0,1690.71,958.5
621e2f3967b776a240c654db,2021-05-25,MALE,>=30,6172.0,1957.94,4154.7
621e2f3967b776a240c654db,2021-05-26,MALE,>=30,6221.0,2039.2,4187.6
621e2f3967b776a240c654db,2021-05-27,MALE,>=30,5673.0,2074.8,3819.1
621e2f3967b776a240c654db,2021-05-28,MALE,>=30,10560.0,2504.1,7107.8
621e2f3967b776a240c654db,2021-05-29,MALE,>=30,25362.0,5223.01,17073.6
621e2f3967b776a240c654db,2021-05-30,MALE,>=30,1199.0,1800.09,800.0
621e2f3967b776a240c654db,2021-05-31,MALE,>=30,5765.0,2034.95,3880.2
621e2f3967b776a240c654db,2021-06-01,MALE,>=30,6947.0,2156.9700000000003,4675.5
621e2f3967b776a240c654db,2021-06-02,MALE,>=30,5348.0,2286.66,3594.0
621e2f3967b776a240c654db,2021-06-03,MALE,>=30,6406.0,2029.59,4312.4
621e2f3967b776a240c654db,2021-06-04,MALE,>=30,8358.0,2168.83,5627.2
621e2f3967b776a240c654db,2021-06-05,MALE,>=30,8830.0,2368.06,5941.9
621e2f3967b776a240c654db,2021-06-06,MALE,>=30,385.0,1576.2,258.0
621e2f3967b776a240c654db,2021-06-07,MALE,>=30,4796.0,1975.33,3228.2
621e2f3967b776a240c654db,2021-06-08,MALE,>=30,7102.0,2115.07,4780.4
621e2f3967b776a240c654db,2021-06-09,MALE,>=30,6206.0,2018.96,4172.9
621e2f3967b776a240c654db,2021-06-10,MALE,>=30,9334.0,2391.67,6994.2
621e2f3967b776a240c654db,2021-06-11,MALE,>=30,10504.0,2621.8,7185.6
621e2f3967b776a240c654db,2021-06-12,MALE,>=30,5521.0,2152.46,3860.0
621e2f3967b776a240c654db,2021-06-13,MALE,>=30,1571.0,1792.01,1072.9
621e2f3967b776a240c654db,2021-06-14,MALE,>=30,10481.0,2395.32,7756.9
621e2f3967b776a240c654db,2021-06-15,MALE,>=30,7559.0,2147.43,5171.0
621e2f3967b776a240c654db,2021-06-16,MALE,>=30,5201.0,1923.99,3558.4
621e2f3967b776a240c654db,2021-06-17,MALE,>=30,5948.0,2018.51,4066.0
621e2f3967b776a240c654db,2021-06-18,MALE,>=30,6073.0,2027.66,4154.1
621e2f3967b776a240c654db,2021-06-19,MALE,>=30,11628.0,2450.14,8823.2
621e2f3967b776a240c654db,2021-06-20,MALE,>=30,1197.0,1824.98,817.7
621e2f3967b776a240c654db,2021-06-21,MALE,>=30,5663.0,1977.34,3778.0
621e2f3967b776a240c654db,2021-06-22,MALE,>=30,5589.0,1955.66,3864.5
621e2f3967b776a240c654db,2021-06-23,MALE,>=30,5705.0,1979.24,3903.0
621e2f3967b776a240c654db,2021-06-24,MALE,>=30,4815.0,1941.6,3293.3
621e2f3967b776a240c654db,2021-06-25,MALE,>=30,5386.0,1934.74,3685.1
621e2f3967b776a240c654db,2021-06-26,MALE,>=30,8318.0,2441.11,5690.4
621e2f3967b776a240c654db,2021-06-27,MALE,>=30,441.0,1705.43,300.4
621e2f3967b776a240c654db,2021-06-28,MALE,>=30,5323.0,1974.88,3641.4
621e2f3967b776a240c654db,2021-06-29,MALE,>=30,5868.0,1999.39,4014.4
621e2f3967b776a240c654db,2021-06-30,MALE,>=30,5021.0,1938.1,3434.3
