mechanism,eps,n_users,accuracy
piecewise_sub,1.0,15,0.07935416666666667
piecewise_sub,1.0,16,0.076376953125
piecewise_sub,1.0,17,0.07088235294117647
piecewise_sub,1.0,18,0.0661892361111111
piecewise_sub,1.0,19,0.06451480263157895
piecewise_sub,1.0,20,0.06071875
piecewise_sub,1.0,21,0.058125
piecewise_sub,1.0,22,0.05529119318181818
piecewise_sub,1.0,23,0.05245244565217391
piecewise_sub,1.0,24,0.05106119791666667
piecewise_sub,1.0,25,0.0478625
piecewise_sub,1.0,26,0.04620192307692308
piecewise_sub,1.0,27,0.04501736111111111
piecewise_sub,1.0,28,0.04275111607142857
piecewise_sub,1.0,29,0.04223060344827586
piecewise_sub,1.0,30,0.040442708333333334
piecewise_sub,1.0,31,0.03967741935483871
piecewise_sub,1.0,32,0.0378515625
piecewise_sub,1.0,33,0.037073863636363634
piecewise_sub,1.0,34,0.035510110294117644
piecewise_sub,1.0,35,0.03491517857142857
piecewise_sub,1.0,36,0.03342013888888889
piecewise_sub,1.0,37,0.03375422297297297
piecewise_sub,1.0,38,0.032166940789473686
piecewise_sub,1.0,39,0.03149439102564103
piecewise_sub,1.0,40,0.03012890625
piecewise_sub,1.0,41,0.02972560975609756
piecewise_sub,1.0,42,0.028783482142857142
piecewise_sub,1.0,43,0.027761627906976744
piecewise_sub,1.0,44,0.027553267045454546
piecewise_sub,1.0,45,0.02722222222222222
piecewise_sub,1.0,46,0.026171875
piecewise_sub,1.0,47,0.025970744680851063
piecewise_sub,1.0,48,0.025283203125
piecewise_sub,1.0,49,0.024713010204081634
piecewise_sub,1.0,50,0.024371875
piecewise_sub,1.0,51,0.023716299019607843
piecewise_sub,1.0,52,0.023428485576923078
piecewise_sub,1.0,53,0.023263561320754716
piecewise_sub,1.0,54,0.02265914351851852
piecewise_sub,1.0,55,0.021977272727272727
piecewise_sub,1.0,56,0.021356026785714285
piecewise_sub,1.0,57,0.021184210526315788
piecewise_sub,1.0,58,0.020999461206896552
piecewise_sub,1.0,59,0.020524364406779662
