attribute,mechanism,eps,n_users,mean,rmse,nrmse
steps,laplace,2,26,3.6401940677278173,4.284687243717126,0.4307816290623506
steps,laplace,2,27,3.81679866993059,4.45993661940403,0.4307764260485041
steps,laplace,2,28,3.9725467430236585,4.611855909000708,0.435285180534545
steps,laplace,2,29,4.088469617486479,4.740547252540844,0.4401763108584415
steps,laplace,2,30,4.224129840537292,4.8803014143511465,0.43826009050532266
steps,laplace,2,31,4.418264250853034,5.074405592228261,0.4481696148199767
steps,laplace,2,32,4.460012337408889,5.127808053038178,0.4460018457164904
steps,laplace,2,33,4.645952657122527,5.315184375563836,0.4495695238359254
steps,laplace,2,34,4.777986983378726,5.457231509076728,0.45430108739144737
steps,laplace,2,35,4.970706291689679,5.634980134068259,0.45679152028990944
steps,laplace,2,36,5.083012842689921,5.756236774734263,0.458937885480581
steps,laplace,2,37,5.19462956045403,5.882491096714273,0.4608710190585915
steps,laplace,2,38,5.284733815552015,5.974113713098439,0.4604791814777011
steps,laplace,2,39,5.452297265583221,6.149730452935859,0.4660919616473998
steps,laplace,2,40,5.62087131090881,6.31804867138871,0.46924413590428565
steps,laplace,2,41,5.745873153126353,6.444386282980638,0.47230825018432143
steps,laplace,2,42,5.9020740782442225,6.603298881228915,0.4761732819995617
steps,laplace,2,43,6.038979296402534,6.7441837163880285,0.4807035465991873
steps,laplace,2,44,6.183552091068699,6.887280545821639,0.48118045290281813
steps,laplace,2,45,6.3452167392705485,7.05355227003599,0.4869504527563988
steps,laplace,2,46,6.48897416256712,7.199608978513543,0.48654790349553706
steps,laplace,2,47,6.612187996507151,7.3268097597355455,0.48686386207343946
steps,laplace,2,48,6.747395655338971,7.466532565650482,0.49032471037572717
steps,laplace,2,49,6.892346724966485,7.620842100684013,0.4900163227648314
