attribute,mechanism,eps,n_users,p_rate,tp,fn,fp,tn,accuracy,precision,recall,specificity,balanced_accuracy,t_agree_rate
steps,piecewise_sub,64,38,0.75,750,0,0,250,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,40,0.748,748,0,0,252,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,42,0.732,732,0,0,268,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,44,0.739,739,0,0,261,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,46,0.748,748,0,0,252,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,48,0.742,742,0,0,258,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,50,0.753,753,0,0,247,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,52,0.749,749,0,0,251,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,54,0.763,763,0,0,237,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,56,0.758,758,0,0,242,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,58,0.74,740,0,0,260,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,60,0.716,716,0,0,284,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,62,0.743,743,0,0,257,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,64,0.723,723,0,0,277,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,66,0.735,735,0,0,265,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,68,0.755,755,0,0,245,1.0,1.0,1.0,1.0,1.0,1.0
steps,piecewise_sub,64,70,0.732,732,0,0,268,1.0,1.0,1.0,1.0,1.0,1.0
calories,laplace,1,2,0.813,71,742,13,174,0.245,0.8452380952380952,0.08733087330873308,0.93048128342246,0.24500000000000005,0.9014084507042254
calories,laplace,1,4,0.814,66,748,7,179,0.245,0.9041095890410958,0.08108108108108109,0.9623655913978495,0.24500000000000005,0.8787878787878788
calories,laplace,1,6,0.826,76,750,6,168,0.244,0.926829268292683,0.09200968523002422,0.9655172413793104,0.24400000000000005,0.9078947368421053
calories,laplace,1,8,0.817,48,769,6,177,0.225,0.8888888888888888,0.0587515299877601,0.9672131147540983,0.22500000000000003,0.8541666666666666
calories,laplace,1,10,0.799,83,716,16,185,0.268,0.8383838383838383,0.10387984981226533,0.9203980099502488,0.26799999999999996,0.8433734939759037
calories,laplace,1,12,0.799,61,738,9,192,0.253,0.8714285714285714,0.07634543178973717,0.9552238805970149,0.25299999999999995,0.8360655737704918
calories,laplace,1,14,0.792,74,718,12,196,0.27,0.8604651162790697,0.09343434343434344,0.9423076923076923,0.26999999999999996,0.918918918918919
calories,laplace,1,16,0.825,65,760,6,169,0.234,0.9154929577464789,0.07878787878787878,0.9657142857142857,0.23400000000000004,0.8615384615384616
calories,laplace,1,18,0.797,60,737,8,195,0.255,0.8823529411764706,0.07528230865746549,0.9605911330049262,0.255,0.8666666666666667
calories,laplace,1,20,0.813,68,745,9,178,0.246,0.8831168831168831,0.08364083640836409,0.9518716577540107,0.24600000000000005,0.8676470588235294
calories,laplace,1,22,0.813,69,744,9,178,0.247,0.8846153846153846,0.08487084870848709,0.9518716577540107,0.24700000000000005,0.9130434782608695
calories,laplace,1,24,0.788,74,714,9,203,0.277,0.891566265060241,0.09390862944162437,0.9575471698113207,0.27699999999999997,0.8513513513513513
calories,laplace,1,26,0.815,66,749,10,175,0.241,0.868421052631579,0.08098159509202454,0.9459459459459459,0.24100000000000005,0.8787878787878788
calories,laplace,1,28,0.762,65,697,8,230,0.295,0.8904109589041096,0.08530183727034121,0.9663865546218487,0.295,0.9230769230769231
calories,laplace,1,30,0.781,69,712,6,213,0.282,0.92,0.088348271446863,0.9726027397260274,0.282,0.8405797101449275
calories,laplace,1,32,0.785,60,725,10,205,0.265,0.8571428571428571,0.07643312101910828,0.9534883720930233,0.265,0.9166666666666666
calories,laplace,1,34,0.763,67,696,8,229,0.296,0.8933333333333333,0.08781127129750983,0.9662447257383966,0.296,0.9253731343283582
calories,laplace,1,36,0.777,89,688,10,213,0.302,0.898989898989899,0.11454311454311454,0.9551569506726457,0.30199999999999994,0.9438202247191011
calories,laplace,1,38,0.775,61,714,15,210,0.271,0.8026315789473685,0.07870967741935483,0.9333333333333333,0.271,0.9016393442622951
calories,laplace,1,40,0.769,53,716,6,225,0.278,0.8983050847457628,0.06892067620286085,0.974025974025974,0.27799999999999997,0.9245283018867925
calories,laplace,1,42,0.754,53,701,18,228,0.281,0.7464788732394366,0.07029177718832891,0.926829268292683,0.281,0.9622641509433962
calories,laplace,1,44,0.753,67,686,15,232,0.299,0.8170731707317073,0.08897742363877822,0.9392712550607287,0.299,0.8955223880597015
calories,laplace,1,46,0.762,67,695,13,225,0.292,0.8375,0.08792650918635171,0.9453781512605042,0.292,0.8955223880597015
calories,laplace,1,48,0.751,66,685,20,229,0.295,0.7674418604651163,0.08788282290279627,0.9196787148594378,0.29500000000000004,0.8787878787878788
calories,laplace,1,50,0.751,78,673,19,230,0.308,0.8041237113402062,0.10386151797603196,0.9236947791164659,0.308,0.8846153846153846
calories,laplace,1,52,0.756,52,704,10,234,0.286,0.8387096774193549,0.06878306878306878,0.9590163934426229,0.286,0.9038461538461539
calories,laplace,1,54,0.749,59,690,18,233,0.292,0.7662337662337663,0.0787716955941255,0.9282868525896414,0.292,0.8813559322033898
calories,laplace,1,56,0.762,72,690,11,227,0.299,0.8674698795180723,0.09448818897637795,0.9537815126050421,0.299,0.8888888888888888
calories,laplace,1,58,0.748,68,680,15,237,0.305,0.8192771084337349,0.09090909090909091,0.9404761904761905,0.305,0.8823529411764706
calories,laplace,1,60,0.732,70,662,7,261,0.331,0.9090909090909091,0.09562841530054644,0.9738805970149254,0.331,0.9142857142857143
calories,laplace,1,62,0.74,57,683,10,250,0.307,0.8507462686567164,0.07702702702702703,0.9615384615384616,0.307,0.9298245614035088
calories,laplace,1,64,0.719,70,649,17,264,0.334,0.8045977011494253,0.09735744089012517,0.9395017793594306,0.334,0.8428571428571429
calories,laplace,1,66,0.747,72,675,12,241,0.313,0.8571428571428571,0.0963855421686747,0.9525691699604744,0.31300000000000006,0.9444444444444444
calories,laplace,1,68,0.715,76,639,19,266,0.342,0.8,0.1062937062937063,0.9333333333333333,0.342,0.8947368421052632
calories,laplace,1,70,0.755,64,691,15,230,0.294,0.810126582278481,0.0847682119205298,0.9387755102040817,0.29400000000000004,0.9375
calories,laplace,2,2,0.838,145,693,9,153,0.298,0.9415584415584416,0.1730310262529833,0.9444444444444444,0.29800000000000004,0.9724137931034482
calories,laplace,2,4,0.829,159,670,4,167,0.326,0.9754601226993865,0.19179734620024125,0.9766081871345029,0.326,0.9748427672955975
calories,laplace,2,6,0.818,131,687,6,176,0.307,0.9562043795620438,0.16014669926650366,0.967032967032967,0.30700000000000005,1.0
calories,laplace,2,8,0.825,155,670,8,167,0.322,0.950920245398773,0.18787878787878787,0.9542857142857143,0.322,0.9741935483870968
calories,laplace,2,10,0.826,165,661,12,162,0.327,0.9322033898305084,0.19975786924939468,0.9310344827586207,0.327,0.9696969696969697
calories,laplace,2,12,0.806,170,636,12,182,0.352,0.9340659340659341,0.2109181141439206,0.9381443298969072,0.352,0.9705882352941176
calories,laplace,2,14,0.812,144,668,6,182,0.326,0.96,0.17733990147783252,0.9680851063829787,0.32599999999999996,0.9722222222222222
calories,laplace,2,16,0.814,146,668,13,173,0.319,0.9182389937106918,0.17936117936117937,0.9301075268817204,0.31900000000000006,1.0
calories,laplace,2,18,0.805,140,665,12,183,0.323,0.9210526315789473,0.17391304347826086,0.9384615384615385,0.32299999999999995,0.95
calories,laplace,2,20,0.793,165,628,6,201,0.366,0.9649122807017544,0.2080706179066835,0.9710144927536232,0.366,0.9636363636363636
calories,laplace,2,22,0.806,165,641,10,184,0.349,0.9428571428571428,0.20471464019851116,0.9484536082474226,0.349,0.9939393939393939
calories,laplace,2,24,0.796,157,639,10,194,0.351,0.9401197604790419,0.1972361809045226,0.9509803921568627,0.351,0.9745222929936306
calories,laplace,2,26,0.783,149,634,11,206,0.355,0.93125,0.19029374201787994,0.9493087557603687,0.355,0.9731543624161074
calories,laplace,2,28,0.767,150,617,12,221,0.371,0.9259259259259259,0.19556714471968709,0.9484978540772532,0.371,0.98
calories,laplace,2,30,0.796,173,623,14,190,0.363,0.9251336898395722,0.21733668341708542,0.9313725490196079,0.363,0.9826589595375722
calories,laplace,2,32,0.756,160,596,8,236,0.396,0.9523809523809523,0.21164021164021163,0.9672131147540983,0.396,0.99375
calories,laplace,2,34,0.767,163,604,6,227,0.39,0.9644970414201184,0.21251629726205998,0.9742489270386266,0.39,0.9877300613496932
calories,laplace,2,36,0.756,180,576,14,230,0.41,0.9278350515463918,0.23809523809523808,0.9426229508196722,0.41000000000000003,0.9944444444444445
calories,laplace,2,38,0.764,176,588,9,227,0.403,0.9513513513513514,0.23036649214659685,0.961864406779661,0.40299999999999997,0.9829545454545454
calories,laplace,2,40,0.757,166,591,12,231,0.397,0.9325842696629213,0.2192866578599736,0.9506172839506173,0.397,0.9819277108433735
calories,laplace,2,42,0.771,149,622,13,216,0.365,0.9197530864197531,0.1932555123216602,0.9432314410480349,0.365,0.9798657718120806
calories,laplace,2,44,0.75,160,590,12,238,0.398,0.9302325581395349,0.21333333333333335,0.952,0.398,0.975
calories,laplace,2,46,0.763,160,603,21,216,0.376,0.8839779005524862,0.20969855832241152,0.9113924050632911,0.376,0.975
calories,laplace,2,48,0.724,134,590,14,262,0.396,0.9054054054054054,0.1850828729281768,0.9492753623188406,0.396,1.0
calories,laplace,2,50,0.731,153,578,15,254,0.407,0.9107142857142857,0.20930232558139536,0.9442379182156134,0.40700000000000003,1.0
