mechanism,eps,n_users,max_recall
laplace,8.0,41,0.09028905488795064
laplace,8.0,42,0.08709853021230267
laplace,8.0,43,0.0841570177915843
laplace,8.0,44,0.07977883096366509
laplace,8.0,45,0.08294930875576037
laplace,8.0,46,0.08766859344894026
laplace,8.0,47,0.08027079303675048
laplace,8.0,48,0.08030639980232271
laplace,8.0,49,0.07647058823529412
laplace,8.0,50,0.07408267533673943
laplace,8.0,51,0.07374324885749896
laplace,8.0,52,0.07517763007105203
laplace,8.0,53,0.07112161581435325
laplace,8.0,54,0.07036949870557778
laplace,8.0,55,0.06649436090225563
laplace,8.0,56,0.07087899277220798
laplace,8.0,57,0.06704397039616891
laplace,8.0,58,0.0646343816322593
laplace,8.0,59,0.06295186034209134
laplace,8.0,60,0.06328381246382404
laplace,8.0,61,0.06161578555472822
laplace,8.0,62,0.06134040136312003
laplace,8.0,63,0.06757281553398058
laplace,8.0,64,0.06174893695692365
laplace,8.0,65,0.059067529450804714
laplace,8.0,66,0.056758530183727035
laplace,8.0,67,0.05838011226944667
laplace,8.0,68,0.05984303466317855
laplace,8.0,69,0.05532979055954986
laplace,8.0,70,0.055959890021025395
laplace,8.0,71,0.054846103470857895
laplace,16.0,1,1.0
laplace,16.0,2,0.9714285714285714
laplace,16.0,3,0.8702928870292888
laplace,16.0,4,0.7739938080495357
laplace,16.0,5,0.63671875
laplace,16.0,6,0.6277056277056277
laplace,16.0,7,0.6404494382022472
laplace,16.0,8,0.49480249480249483
laplace,16.0,9,0.5384615384615384
laplace,16.0,10,0.45565749235474007
laplace,16.0,11,0.42946058091286304
laplace,16.0,12,0.39106145251396646
laplace,16.0,13,0.402321083172147
laplace,16.0,14,0.3605283605283605
laplace,16.0,15,0.33849557522123896
laplace,16.0,16,0.3224334600760456
laplace,16.0,17,0.33868243243243246
laplace,16.0,18,0.3174835405998537
laplace,16.0,19,0.29852871381110585
laplace,16.0,20,0.33807588075880757
laplace,16.0,21,0.2865421764327109
laplace,16.0,22,0.28035814213766086
laplace,16.0,23,0.2619047619047619
laplace,16.0,24,0.24526315789473685
laplace,16.0,25,0.24157894736842106
laplace,16.0,26,0.23766364551863042
laplace,16.0,27,0.24158325750682438
laplace,16.0,28,0.2340319361277445
laplace,16.0,29,0.260694514343231
laplace,16.0,30,0.21513002364066194
laplace,16.0,31,0.21965973534971645
laplace,16.0,32,0.2189068600111545
laplace,16.0,33,0.19939050936003483
laplace,16.0,34,0.19672131147540983
laplace,16.0,35,0.1923527116660164
laplace,16.0,36,0.19644079397672826
laplace,16.0,37,0.1808641975308642
laplace,16.0,38,0.18835429196282122
laplace,16.0,39,0.1858678955453149
laplace,16.0,40,0.17650381248234961
laplace,16.0,41,0.1733372572101236
laplace,16.0,42,0.17005379557680814
laplace,16.0,43,0.16563330380868024
laplace,16.0,44,0.16086147301249668
laplace,16.0,45,0.1564281190626979
laplace,16.0,46,0.159545700378583
laplace,16.0,47,0.15243134290753338
laplace,16.0,48,0.15715309290661572
laplace,16.0,49,0.14624905279110886
laplace,16.0,50,0.1514576913960654
laplace,16.0,51,0.1442240373395566
laplace,16.0,52,0.14382326420198377
laplace,16.0,53,0.14001928640308584
laplace,16.0,54,0.13940193491644678
laplace,16.0,55,0.1357944732297064
laplace,16.0,56,0.1376535366370182
laplace,16.0,57,0.13260182257764552
laplace,16.0,58,0.13072392171765154
laplace,16.0,59,0.1274131274131274
laplace,16.0,60,0.12863762743280815
laplace,16.0,61,0.1376570583887657
laplace,16.0,62,0.12412177985948478
laplace,16.0,63,0.11902212705210564
laplace,16.0,64,0.12364062238581228
laplace,16.0,65,0.115995115995116
laplace,16.0,66,0.11901481226317602
laplace,16.0,67,0.1187356698329512
laplace,16.0,68,0.12016528925619835
laplace,16.0,69,0.1119826435246996
laplace,16.0,70,0.11583725622057835
laplace,16.0,71,0.11484238872168541
laplace,32.0,1,1.0
laplace,32.0,2,0.9875389408099688
laplace,32.0,3,0.9242424242424242
laplace,32.0,4,0.90625
laplace,32.0,5,0.7979274611398963
laplace,32.0,6,0.8025210084033614
laplace,32.0,7,0.7731343283582089
laplace,32.0,8,0.7152542372881356
laplace,32.0,9,0.659171597633136
laplace,32.0,10,0.6629554655870445
laplace,32.0,11,0.6277533039647577
laplace,32.0,12,0.6219239373601789
laplace,32.0,13,0.5909822866344605
laplace,32.0,14,0.573394495412844
laplace,32.0,15,0.5467105263157894
laplace,32.0,16,0.5502450980392157
laplace,32.0,17,0.5049751243781094
laplace,32.0,18,0.4778761061946903
laplace,32.0,19,0.4958628841607565
laplace,32.0,20,0.4675707547169811
laplace,32.0,21,0.46124031007751937
laplace,32.0,22,0.43469490670700955
laplace,32.0,23,0.4535017221584386
laplace,32.0,24,0.41615853658536583
laplace,32.0,25,0.4340634778721502
laplace,32.0,26,0.43964562569213733
laplace,32.0,27,0.39990512333965844
laplace,32.0,28,0.4021186440677966
laplace,32.0,29,0.3857979502196193
laplace,32.0,30,0.37658921525646644
laplace,32.0,31,0.3752997601918465
laplace,32.0,32,0.3662812383439015
laplace,32.0,33,0.38102119460500966
laplace,32.0,34,0.3495717344753747
laplace,32.0,35,0.3452898550724638
laplace,32.0,36,0.3393383557156895
laplace,32.0,37,0.33010315723663647
laplace,32.0,38,0.3305915849414742
laplace,32.0,39,0.3300831660453112
laplace,32.0,40,0.32981181908220536
laplace,32.0,41,0.32838541666666665
laplace,32.0,42,0.3221563064224916
laplace,32.0,43,0.3056637698531615
laplace,32.0,44,0.3069679849340866
laplace,32.0,45,0.30381334671349725
laplace,32.0,46,0.30310524869469635
laplace,32.0,47,0.2875206157229247
laplace,32.0,48,0.293301936159079
laplace,32.0,49,0.2952560774132641
laplace,32.0,50,0.2844097995545657
laplace,32.0,51,0.28180316261505783
laplace,32.0,52,0.28256750355281857
laplace,32.0,53,0.2752197572205944
laplace,32.0,54,0.2888198757763975
laplace,32.0,55,0.2655053598774885
laplace,32.0,56,0.25825706327099085
laplace,32.0,57,0.26833265055305205
laplace,32.0,58,0.2678400612205854
laplace,32.0,59,0.251953125
laplace,32.0,60,0.2562669376693767
laplace,32.0,61,0.24643393393393392
laplace,32.0,62,0.2540628385698808
laplace,32.0,63,0.2493595217762596
laplace,32.0,64,0.2409739714525609
laplace,32.0,65,0.2365482233502538
laplace,32.0,66,0.2354181307097681
laplace,32.0,67,0.23947797716150082
laplace,32.0,68,0.24077951360927685
laplace,32.0,69,0.23113054745707806
laplace,32.0,70,0.22320117474302498
laplace,32.0,71,0.2283720930232558
laplace,64.0,1,1.0
laplace,64.0,2,1.0
laplace,64.0,3,0.978494623655914
laplace,64.0,4,0.9601593625498008
laplace,64.0,5,0.9395161290322581
laplace,64.0,6,0.9349005424954792
laplace,64.0,7,0.9198717948717948
laplace,64.0,8,0.8774080560420315
laplace,64.0,9,0.845223700120919
laplace,64.0,10,0.8691860465116279
laplace,64.0,11,0.8243375858684985
laplace,64.0,12,0.8304635761589404
laplace,64.0,13,0.822880771881461
laplace,64.0,14,0.7698961937716263
laplace,64.0,15,0.7495327102803738
laplace,64.0,16,0.7388973966309341
laplace,64.0,17,0.726790450928382
laplace,64.0,18,0.7067407922168172
laplace,64.0,19,0.7122835943940643
laplace,64.0,20,0.6998697916666666
laplace,64.0,21,0.6993464052287581
laplace,64.0,22,0.6732620320855615
laplace,64.0,23,0.6661354581673307
laplace,64.0,24,0.6697848456501403
laplace,64.0,25,0.6596638655462185
laplace,64.0,26,0.632421052631579
laplace,64.0,27,0.6229865041358293
laplace,64.0,28,0.6217412690605018
laplace,64.0,29,0.6153502900490853
laplace,64.0,30,0.6024042742653607
laplace,64.0,31,0.6242722794446932
laplace,64.0,32,0.5989829277152198
laplace,64.0,33,0.5798816568047337
laplace,64.0,34,0.572824427480916
laplace,64.0,35,0.595869191049914
laplace,64.0,36,0.569969040247678
laplace,64.0,37,0.5569656763772715
laplace,64.0,38,0.5605524079320113
laplace,64.0,39,0.5471864009378663
laplace,64.0,40,0.535031847133758
laplace,64.0,41,0.535548686244204
laplace,64.0,42,0.5240764331210191
laplace,64.0,43,0.5247992442135097
laplace,64.0,44,0.5213057562920508
laplace,64.0,45,0.5187284376540168
laplace,64.0,46,0.5222222222222223
laplace,64.0,47,0.504181338028169
laplace,64.0,48,0.49543859649122807
laplace,64.0,49,0.4953271028037383
laplace,64.0,50,0.4905570164953383
laplace,64.0,51,0.49354308523127494
laplace,64.0,52,0.5011342544854609
laplace,64.0,53,0.47761790567545964
laplace,64.0,54,0.4740026470032142
laplace,64.0,55,0.4853658536585366
laplace,64.0,56,0.4754566210045662
laplace,64.0,57,0.4693759630200308
laplace,64.0,58,0.46761330480451274
laplace,64.0,59,0.4688493919550982
laplace,64.0,60,0.463566720114021
laplace,64.0,61,0.4609061015710632
laplace,64.0,62,0.4555496169606271
laplace,64.0,63,0.44567092100724387
laplace,64.0,64,0.441486510630695
laplace,64.0,65,0.4426609300016548
laplace,64.0,66,0.43538581449727204
laplace,64.0,67,0.43686301606495076
laplace,64.0,68,0.42605980939861976
laplace,64.0,69,0.42575065274151436
laplace,64.0,70,0.4309226143377117
laplace,64.0,71,0.4229966275895295
laplace,inf,1,1.0
laplace,inf,2,1.0
laplace,inf,3,1.0
laplace,inf,4,1.0
laplace,inf,5,1.0
laplace,inf,6,1.0
laplace,inf,7,1.0
laplace,inf,8,1.0
laplace,inf,9,1.0
laplace,inf,10,1.0
laplace,inf,11,1.0
laplace,inf,12,1.0
laplace,inf,13,1.0
laplace,inf,14,1.0
laplace,inf,15,1.0
laplace,inf,16,1.0
